"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(APDQS_protein_score)",0.777176627549606,0.0299389879262399,-8.42004529963203,3.76338764657115e-17,0.732884638149897,0.824145409752527
"scale(age)",2.8827959982462,0.0344530353333712,30.7305479959674,2.22491675218758e-207,2.69455736413372,3.08418476374729
"scale(BMI)",1.03166880997227,0.030900927953144,1.00895659286059,0.31299545210243,0.971040588451775,1.09608243581926
"scale(PA)",0.944874870426195,0.0323430599420146,-1.7531666021935,0.0795734139356577,0.886837065556719,1.00671087783466
"scale(eGFR)",0.998346571533239,0.0288347891137794,-0.0573889020543211,0.954235403310844,0.943489592422603,1.05639308042917
"factor(sex)2",1.16474346744076,0.0602938208680102,2.52929505798522,0.0114291900024436,1.03492312206127,1.31084842538248
"factor(race)2",0.703073322592603,0.0946587134380273,-3.72172914940582,0.000197863194252323,0.584019000132906,0.846397286439157
"factor(race)3",0.854814466832632,0.0729980322208084,-2.14897342677508,0.0316365064731539,0.740859451663772,0.986297429377979
"factor(race)4",0.791838944721261,0.071988692147687,-3.24213780676149,0.0011863664069266,0.687638163614383,0.911829720272618
"scale(energy)",1.06179149470725,0.0267782501572353,2.23903991203815,0.0251533193536734,1.00750115878758,1.11900732659143
"scale(smoking)",1.14477374358916,0.0191316810210713,7.06717896241398,1.58114988141351e-12,1.1026425398886,1.18851475124799
"scale(SBP)",1.10627061716952,0.0258508275360454,3.90682093309803,9.35184054025633e-05,1.05161582600601,1.16376593823306
"scale(HDL)",0.994160557925369,0.0297315195294889,-0.196981465274708,0.843842042181411,0.937883755433219,1.05381419521223
"scale(cholesterol)",0.982263088771091,0.0284156986715369,-0.629796069564743,0.528828017542527,0.929052674714969,1.03852106755748
"factor(diabetes)1",1.42382579860988,0.0686877440819415,5.14425794284564,2.68580300360289e-07,1.2444852224769,1.62901082967634
"factor(htnmeds)1",1.20178535444646,0.0557617185228376,3.29631602762974,0.000979617509887678,1.07736396718569,1.34057577768708
"factor(lipidmeds)1",0.853497112860875,0.065290001755763,-2.42629981925001,0.0152536628437061,0.750977812609006,0.970011775888668
