"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(APDQS_protein_score)",0.782362240057333,0.029068464643678,-8.44342575778093,3.08170123713978e-17,0.739034579457673,0.828230087848798
"scale(age)",3.04752714935192,0.0324044000147763,34.3882463663753,3.77894540045876e-259,2.85999259049707,3.24735866690582
"scale(BMI)",1.09943949133739,0.028377448736909,3.3406983653523,0.000835679594596185,1.03995944698647,1.16232147187556
"scale(PA)",0.919701276623462,0.0327698937442327,-2.55436778773033,0.0106380821901914,0.862487888491843,0.980709931709174
"scale(eGFR)",1.01310253346071,0.0287191187859579,0.453267312026638,0.650356267688226,0.957651830569976,1.07176398618026
"factor(sex)2",1.26608536384611,0.0556760922832598,4.23754146118944,2.25980698200238e-05,1.13519746499737,1.41206459490203
"factor(race)2",0.72960514252638,0.0933570658551759,-3.37683911699915,0.000733239240111891,0.607606215569572,0.876099767185457
"factor(race)3",0.925355719655698,0.0701154775088926,-1.10641838807791,0.268545470199973,0.806540743099219,1.06167384007056
"factor(race)4",0.815306252938226,0.0703089286583707,-2.90420391471371,0.00368188270926355,0.710352158652566,0.935767250065172
"scale(energy)",1.06773386424318,0.0266243631755563,2.46159948574673,0.0138319030862124,1.01344531185605,1.12493056262084
