"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Meat_protein_score)",1.3148002797368,0.0638006356394179,4.28968728641904,1.78924873546329e-05,1.16025270151149,1.48993385091363
"scale(age)",1.91220561931947,0.049226733828307,13.1688068640327,1.32677829886195e-39,1.73633179643098,2.10589378025153
"scale(BMI)",1.02029751574501,0.0456831009258955,0.439862147291001,0.660036952898044,0.932913339974416,1.11586679708534
"scale(PA)",0.987520313894975,0.0422885535045119,-0.29696478940134,0.766493391125232,0.908970850284491,1.07285769400637
"scale(eGFR)",1.03544481061911,0.0440843173516556,0.790101904708621,0.429468257602718,0.949734724086892,1.12888991909697
"factor(sex)2",1.00809664173127,0.121242275295179,0.0665117820270246,0.946970377780609,0.794878144690073,1.27850897129159
"factor(race)2",0.740714439541832,0.14436782082159,-2.0789958454118,0.0376177323269946,0.558167697255332,0.982962438786185
"factor(race)3",0.796308464666858,0.11248057996703,-2.02495977389776,0.0428714949534476,0.638759965849329,0.992715894548817
"factor(race)4",1.00062896680739,0.101472381977854,0.00619645541389229,0.995055975532082,0.820161960836782,1.22080561770077
"scale(energy)",0.98662797409236,0.042337904605506,-0.317971252320038,0.750506743413573,0.908061651320531,1.07199192681025
"scale(smoking)",1.01051227223307,0.0350563238520208,0.298302883825292,0.765472003459623,0.943412432634494,1.08238456163028
"scale(SBP)",1.23688615312723,0.0393311081548844,5.40531565190162,6.4694359266849e-08,1.14512007334775,1.33600605858323
"scale(HDL)",0.852345764547144,0.047807249683131,-3.34181549041096,0.000832323681144911,0.776108076137193,0.936072339251153
"scale(cholesterol)",1.10844365203158,0.0398560954630843,2.58321631754706,0.0097883928668661,1.02515149788364,1.19850317954524
"factor(diabetes)1",1.54187828516491,0.101568882209576,4.26312990267646,2.01583249190032e-05,1.26355602483484,1.88150631989098
"factor(htnmeds)1",1.24722888667387,0.0856298195732932,2.57999141904471,0.00988027702126026,1.05452754011442,1.47514392614625
"factor(lipidmeds)1",0.915451975201801,0.099139518774303,-0.891040977287706,0.372907187268951,0.753785631359907,1.11179131577362
