"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Meat_protein_score)",1.46020931729372,0.0609085278173605,6.21554660767101,5.1146288852727e-10,1.29589460663199,1.64535853409636
"scale(age)",2.11174788434835,0.0451458485192173,16.557801221948,1.40640455397069e-61,1.93291987572175,2.3071205294449
"scale(BMI)",1.14330626848882,0.0412762363445501,3.2445860430677,0.00117621476045725,1.05445533524113,1.23964399427779
"scale(PA)",0.982885290513666,0.042483446143642,-0.406343187361722,0.684490457131853,0.90435899116638,1.06823009860517
"scale(eGFR)",1.04816700403654,0.0442670244689765,1.06270816175729,0.28791431841232,0.96105960744089,1.14316953895964
"factor(sex)2",0.941189551412684,0.11591507709476,-0.522889041323678,0.601051471125124,0.749911484631596,1.18125644138333
"factor(race)2",0.834383857184362,0.142270812786885,-1.27265542770915,0.203140340674211,0.631342110627777,1.10272451244792
"factor(race)3",0.848740816757587,0.108193883005483,-1.51581046301314,0.129567285612333,0.686562831246707,1.04922804038526
"factor(race)4",1.12392327946007,0.0985230808172824,1.18576775578553,0.235714028455272,0.926560257482387,1.36332583651344
"scale(energy)",0.976007017402882,0.0418269686536188,-0.580618280852208,0.56149774876735,0.899186462705437,1.05939061310327
