"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Meat_protein_score)",1.49634042027853,0.0401890764314634,10.0281579750978,1.14635187013108e-23,1.38299752756855,1.61897227487874
"scale(age)",3.09527628050782,0.0326522664049355,34.6033305885554,2.25122778870191e-262,2.90339256342395,3.2998414934892
"scale(BMI)",1.09508713622856,0.0284354463252028,3.19439109652208,0.00140126142670267,1.03572481491574,1.15785179486195
"scale(PA)",0.911347485651109,0.0326719288653708,-2.84130825655772,0.00449288607808836,0.85481789150403,0.971615414063527
"scale(eGFR)",1.04805660059451,0.0275706382249527,1.70244853450085,0.0886713183783113,0.992925279190631,1.10624904116156
"factor(sex)2",0.853879658591286,0.0762928953390253,-2.0705074754282,0.0384048467352312,0.735285560701022,0.991601780756902
"factor(race)2",0.733584423772159,0.0929363737412432,-3.33359887397413,0.000857301953286838,0.611424048842651,0.880152012044298
"factor(race)3",0.899112752657975,0.0694449196773889,-1.53138390514762,0.125674539513713,0.784697980250343,1.03021004556976
"factor(race)4",0.834749857321719,0.0690563082248321,-2.61559263338675,0.00890727563166359,0.729080558123844,0.955734337631682
"scale(energy)",1.06926108358666,0.0265735981233445,2.52008905674886,0.0117325145938515,1.01499586497347,1.12642751003011
