"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Plant_protein_score)",1.05772105314293,0.0481653471199083,1.16508334631109,0.243985257296057,0.962437931301365,1.16243737894769
"scale(age)",1.86930236210558,0.0491218480317407,12.7349706481363,3.77988221996618e-37,1.69772350657758,2.05822167592979
"scale(BMI)",1.02375324637729,0.0458954107042327,0.5115005375136,0.609000612125718,0.935683664606771,1.12011222287235
"scale(PA)",0.991270743797833,0.0423040501221623,-0.207251535454531,0.835813421442645,0.912395250594932,1.07696493035095
"scale(eGFR)",1.02160177361049,0.0450436619246236,0.474467681622974,0.635166439013304,0.935277321385016,1.11589382098837
"factor(sex)2",1.45165182646904,0.0882080926165378,4.22525969738062,2.38665383421145e-05,1.22117976752567,1.72562065088963
"factor(race)2",0.808214570176074,0.144212485471367,-1.47648588033502,0.139813502953863,0.609218082390305,1.07221175852493
"factor(race)3",1.00232912020581,0.112503187070771,0.0206786320480648,0.983502014531148,0.803984102671729,1.24960638136245
"factor(race)4",1.10616025666613,0.101091280867326,0.998056303827756,0.318252057158887,0.907337783741216,1.34855015998834
"scale(energy)",0.994168976476225,0.0426000218612573,-0.137279045006463,0.890810233273029,0.914532202164241,1.08074046102346
"scale(smoking)",1.02780717272103,0.0344737362625327,0.795607823172491,0.426260018056825,0.960655219304197,1.0996531982223
"scale(SBP)",1.24493734135884,0.0393290331234595,5.57057173860817,2.53904742341077e-08,1.1525786216987,1.34469697314476
"scale(HDL)",0.831073841478293,0.0478487040896524,-3.8671189328286,0.000110128726035134,0.75667732889831,0.912785018939438
"scale(cholesterol)",1.1165143501704,0.0403926660533367,2.72850633050921,0.00636218690136627,1.03153034800102,1.20849987259434
"factor(diabetes)1",1.61498327961227,0.101248374292691,4.73414617062519,2.19979157179411e-06,1.3242965811678,1.96947649832883
"factor(htnmeds)1",1.26178590637819,0.0855005127262624,2.71961063179683,0.0065358827304522,1.06710585753164,1.4919828827642
"factor(lipidmeds)1",0.906934868793241,0.0999629484424865,-0.977208480308968,0.328465950505295,0.745568384203458,1.10322657674357
