"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Plant_protein_score)",1.09747237953004,0.047187340362341,1.97107313574097,0.0487155110091335,1.00052434872161,1.20381440528686
"scale(age)",2.05796663549137,0.0451513476398468,15.9844271080005,1.64068318505513e-57,1.8836726529123,2.24838783227421
"scale(BMI)",1.16703223068937,0.0411993477009608,3.74918487686717,0.000177410267554247,1.07649967256592,1.26517848744111
"scale(PA)",0.987271200370575,0.0427208912362595,-0.29986511304047,0.764280046189216,0.907971840896486,1.07349631252747
"scale(eGFR)",1.03383526759352,0.0453107738669245,0.734382683868978,0.462715537391393,0.945981716607664,1.12984779912343
"factor(sex)2",1.61346215140669,0.0797193616463821,6.00082922023579,1.96312382657509e-09,1.38007134497324,1.88632285099173
"factor(race)2",0.951003765706928,0.142202507321709,-0.353279683016028,0.723878775403577,0.719679683800491,1.25668152477607
"factor(race)3",1.18387040152278,0.108861089234055,1.55049957229992,0.121021656076108,0.956404113943292,1.46543611342602
"factor(race)4",1.30925901702457,0.0981173337518448,2.74631740404966,0.00602684243497056,1.08020938885001,1.58687675866717
"scale(energy)",0.988712017779148,0.0422147692393667,-0.268914771425438,0.787995269592006,0.910199382023548,1.0739970531815
